Candidate_Location,Distance_From_Job_Location (km),Cost_of_Living_Area,Current_Role,Seniority_Level,Experience_Years,Current_Salary (INR),Expected_Salary (INR),Education_Qualification,Relevant_Skills,Certifications,Notice_Period (Days),Planned_Leaves,Shift_Preference,Service_Bond_Acceptance,Work_Mode_Preference,Current_Company_Name,Current_Company_Industry,Current_Company_Brand_Perception,Job_Hopping_History (Years),Technology_Fit,Offered_Salary (INR),Salary_Difference (INR),Salary_Competitiveness,Offered_Position_Level,Offered_Job_Role,Job_Location,Relocation_Required,Benefits_Package,Career_Growth_Opportunities,Job_Security,Offer_Company_Brand_Value,Offer_Validity_Date,Offer_Letter_Clarity,LinkedIn_Activity_Level,GitHub_Activity_Level,Sentiment_Towards_Current_Employer,Sentiment_Towards_Industry_Trends,Professional_Network,Competitor_Engagement,Response_Time_To_Outreach (Days),Response_Time_To_Interview_Request (Days),Interview_Experience_Satisfaction (1-5),Skill_Fit_With_Role (%),Engagement_Level (1-5),Economic_Conditions,Competing_Offers_Count,Highest_Competing_Offer_Salary (INR),Competing_Offer_Benefits,Competing_Offer_Role_Comparison,Industry_Job_Switching_Rates,Number_Of_Touchpoints,Recruiter_Engagement_Level,Interview_Performance_Score (1-5),Competing_Offer_Employer_Name,Competing_Offer_Role,Competing_Offer_Salary (INR),Competing_Offer_Career_Growth,Competing_Offer_Location,Competing_Offer_Work_Mode,Competing_Offer_Deadline,Candidate_Preference_Between_Offers,Negotiation_Willingness (1-5),Key_Decision_Factors,Work_Life_Balance_Programs,Recognition_And_Reward_Systems,Training_Programs_For_Freshers,Employee_Engagement_Activities,Workplace_Environment_Feedback,Expected Joining Score (1-1000)
Madanapalle,43,High,Software Engineer,Senior-Level,7,645926,660421,Diploma,"Java, Spring Boot",AWS Certified,58,0,Day,Yes,Offline,HCL,Consulting,Negative,9,High,1373674,564325,Above Average,Entry-Level,Developer,Barasat,No,Health Insurance,Limited,Permanent,Moderate,2024-12-16,Clear,High,Moderate,Neutral,Neutral,497,Low,7,6,2,95,1,Stable,5,3160720,Stock Options,Worse,11,1,4,1,Microsoft,Software Engineer,1086649,Excellent,Bellary,Remote,2024-12-01,Offer 1,2,Salary,No,Yes,Available,Rare,Negative,553
Munger,18,High,Analyst,Mid-Level,9,1499038,1237827,Master's Degree,"Python, SQL, ML",None,55,4,Flexible,Yes,Hybrid,Cognizant,IT Services,Positive,6,High,1532402,799841,Below Average,Senior-Level,Team Lead,Allahabad,Yes,Health Insurance,Limited,Permanent,Weak,2024-12-13,Ambiguous,High,None,Positive,Neutral,960,Low,3,6,2,89,1,Stable,3,3100375,Flexible Hours,Similar,45,7,2,2,Google,Data Scientist,1205336,Moderate,Jamshedpur,Remote,2024-12-02,Offer 1,4,Work Environment,No,No,Not Available,Frequent,Negative,536
Darbhanga,36,Medium,Analyst,Senior-Level,1,303583,1549925,Master's Degree,"Python, SQL, ML",Scrum Master,43,1,Night,Yes,Remote,Infosys,Banking,Neutral,3,High,3123440,573274,Above Average,Mid-Level,Team Lead,Gandhinagar,Yes,Flexible Hours,Excellent,Contract,Weak,2024-12-03,Ambiguous,Low,Moderate,Positive,Neutral,405,Moderate,3,10,1,82,3,Stable,2,3902580,Health Insurance,Similar,48,1,4,3,None,None,3072235,Excellent,Kalyan-Dombivli,Offline,2024-11-25,Offer 1,1,Salary,No,Yes,Available,Occasional,Positive,771
Nanded,3,Medium,Project Manager,Entry-Level,19,1764296,786029,Bachelor's Degree,"Java, Spring Boot",PMP,34,2,Day,No,Remote,Cognizant,Banking,Negative,6,Medium,1911921,201497,Below Average,Mid-Level,Team Lead,Ratlam,No,Transport Allowance,Good,Contract,Moderate,2024-12-01,Clear,High,Moderate,Positive,Positive,224,Low,8,3,3,87,5,Stable,5,2869657,Health Insurance,Worse,18,5,1,1,Microsoft,Data Scientist,3272083,Excellent,Bidar,Offline,2024-11-20,Offer 2,1,Growth,No,Yes,Not Available,Occasional,Negative,617
Bhusawal,29,Medium,Analyst,Mid-Level,4,2237456,2375380,Diploma,"AWS, DevOps",None,43,1,Night,No,Hybrid,TCS,Consulting,Neutral,2,Medium,2960548,179160,Above Average,Entry-Level,Architect,Dibrugarh,No,Health Insurance,Excellent,Contract,Weak,2024-12-18,Clear,Moderate,High,Negative,Negative,823,High,5,2,1,80,4,Stable,5,2454319,Flexible Hours,Better,36,10,5,5,Google,Software Engineer,518626,Excellent,Patiala,Hybrid,2024-11-20,Offer 1,2,Salary,Yes,No,Not Available,Rare,Negative,991
Ranchi,2,High,Project Manager,Entry-Level,8,1713053,2041713,Diploma,"Python, SQL, ML",None,31,2,Day,Yes,Remote,TCS,Banking,Negative,6,Low,1582525,193099,Above Average,Entry-Level,Developer,Malda,No,Flexible Hours,Good,Permanent,Moderate,2024-11-30,Ambiguous,Low,Moderate,Neutral,Neutral,595,Moderate,6,4,3,94,3,Volatile,0,3775852,Health Insurance,Similar,16,3,5,2,Microsoft,Software Engineer,768620,Limited,Suryapet,Offline,2024-11-20,Offer 1,3,Salary,Yes,No,Not Available,Occasional,Neutral,753
Thane,49,High,Consultant,Mid-Level,3,1760580,1304683,Diploma,"Java, Spring Boot",Scrum Master,72,4,Flexible,No,Hybrid,Wipro,Banking,Positive,9,Low,2605878,343458,Average,Entry-Level,Architect,Ajmer,No,Transport Allowance,Excellent,Contract,Moderate,2024-11-27,Clear,High,Low,Positive,Negative,665,Moderate,4,2,2,81,5,Volatile,0,2304467,Flexible Hours,Better,19,9,2,2,Microsoft,None,1157659,Moderate,Yamunanagar,Offline,2024-11-20,Offer 2,2,Growth,Yes,No,Not Available,Frequent,Negative,734
Amaravati,12,High,Project Manager,Senior-Level,12,1513816,1407604,Diploma,"Java, Spring Boot",AWS Certified,39,0,Flexible,No,Offline,HCL,Consulting,Neutral,2,High,1924252,188612,Above Average,Entry-Level,Architect,Jammu,Yes,Flexible Hours,Limited,Permanent,Weak,2024-12-14,Clear,High,High,Positive,Negative,235,Low,3,5,1,98,4,Stable,5,2821869,Flexible Hours,Worse,23,2,5,5,Amazon,None,3282682,Moderate,Machilipatnam,Offline,2024-12-01,Offer 2,2,Work Environment,Yes,No,Available,Rare,Positive,734
Imphal,8,High,Analyst,Mid-Level,19,1487623,2784332,Master's Degree,"Data Analysis, Excel",PMP,79,3,Night,Yes,Hybrid,Infosys,IT Services,Negative,1,Medium,2252532,120619,Above Average,Senior-Level,Team Lead,Raebareli,No,Health Insurance,Excellent,Contract,Moderate,2024-12-03,Clear,Moderate,Moderate,Neutral,Neutral,509,Moderate,3,8,5,70,5,Volatile,3,1587712,Flexible Hours,Similar,37,2,2,2,Microsoft,None,3491475,Limited,Chapra,Offline,2024-11-24,Offer 2,5,Salary,No,No,Not Available,Frequent,Neutral,871
Sangli-Miraj & Kupwad,2,Medium,Consultant,Entry-Level,11,1594803,2226264,Master's Degree,"Python, SQL, ML",Scrum Master,76,4,Night,Yes,Offline,TCS,IT Services,Neutral,6,Medium,886945,404596,Below Average,Mid-Level,Architect,Chinsurah,Yes,Health Insurance,Good,Permanent,Moderate,2024-12-01,Ambiguous,High,Low,Positive,Positive,753,Low,8,4,2,88,3,Stable,0,2612553,Health Insurance,Similar,48,3,4,5,Microsoft,Software Engineer,3213557,Moderate,Bongaigaon,Hybrid,2024-12-03,Offer 1,4,Work Environment,Yes,Yes,Not Available,Frequent,Positive,549
