Candidate_Location,Distance_From_Job_Location (km),Cost_of_Living_Area,Current_Role,Seniority_Level,Experience_Years,Current_Salary (INR),Expected_Salary (INR),Education_Qualification,Relevant_Skills,Certifications,Notice_Period (Days),Planned_Leaves,Shift_Preference,Service_Bond_Acceptance,Work_Mode_Preference,Current_Company_Name,Current_Company_Industry,Current_Company_Brand_Perception,Job_Hopping_History (Years),Technology_Fit,Offered_Salary (INR),Salary_Difference (INR),Salary_Competitiveness,Offered_Position_Level,Offered_Job_Role,Job_Location,Relocation_Required,Benefits_Package,Career_Growth_Opportunities,Job_Security,Offer_Company_Brand_Value,Offer_Validity_Date,Offer_Letter_Clarity,Expected_Joining_Score
Mumbai,23,Medium,Data Scientist,Mid-Level,5,1550739,2371369,Bachelor's Degree,"JavaScript, React",Scrum Master,28,6,Day,Yes,Remote,Cognizant,Retail,Negative,2,Moderate,1205785,92598,Average,Entry-Level,Data Analyst,Kolkata,No,Health Insurance,Moderate,Weak,High,2025-01-22 17:53:29.688940,Clear,1000.0
Chennai,17,High,Project Manager,Mid-Level,13,791471,1686592,Master's Degree,"Java, Spring Boot",AWS Certified,5,10,Flexible,Yes,Hybrid,Infosys,Healthcare,Negative,0,High,2727909,454886,Above Average,Lead,Data Analyst,Chennai,Yes,Stock Options,Limited,Stable,High,2024-12-14 17:53:29.688940,Ambiguous,578.9303
Delhi,46,Medium,Software Engineer,Lead,14,1946397,1753662,PhD,"Python, SQL, ML",AWS Certified,0,4,Day,Yes,Offline,Accenture,IT Services,Neutral,1,Moderate,1189853,299034,Below Average,Lead,Team Lead,Delhi,No,Stock Options,Excellent,Stable,Moderate,2024-12-18 17:53:29.688940,Clear,848.6617666666666
Bangalore,25,Medium,Software Engineer,Mid-Level,14,1310405,2256643,PhD,"C++, Algorithms",Google Cloud Certified,54,4,Flexible,No,Hybrid,Cognizant,IT Services,Neutral,5,High,1012997,331247,Below Average,Senior-Level,Team Lead,Pune,Yes,Stock Options,Moderate,Stable,High,2024-12-31 17:53:29.688940,Clear,362.7665666666667
Mumbai,41,Low,Software Engineer,Mid-Level,10,1636338,583835,PhD,"C++, Algorithms",Google Cloud Certified,26,11,Day,Yes,Hybrid,Infosys,IT Services,Negative,7,High,1426789,11390,Above Average,Senior-Level,Manager,Darbhanga,Yes,Health Insurance,Excellent,Weak,Moderate,2024-12-28 17:53:29.688940,Clear,868.5596333333333
Pune,31,High,Analyst,Lead,12,522572,2450642,PhD,"Python, SQL, ML",None,11,1,Night,Yes,Hybrid,Infosys,IT Services,Positive,8,Low,2103541,277549,Below Average,Mid-Level,Team Lead,Bangalore,Yes,Flexible Hours,Limited,Strong,High,2024-12-27 17:53:29.688940,Ambiguous,592.1180333333333
Darbhanga,33,Medium,Analyst,Lead,3,834156,2286080,Bachelor's Degree,"Java, Spring Boot",None,3,6,Day,Yes,Remote,Accenture,Consulting,Neutral,7,Low,1605914,492097,Above Average,Senior-Level,Developer,Madanapalle,No,Flexible Hours,Excellent,Strong,Low,2025-01-05 17:53:29.688940,Ambiguous,1000.0
Mumbai,24,Low,Data Scientist,Lead,9,584026,553450,PhD,"Python, SQL, ML",Google Cloud Certified,79,1,Day,No,Hybrid,HCL,Banking,Positive,1,Low,2479010,314611,Average,Entry-Level,Team Lead,Hyderabad,No,Health Insurance,Excellent,Strong,High,2025-01-18 17:53:29.688940,Ambiguous,1000.0
Delhi,29,Medium,Software Engineer,Lead,13,1762431,2314225,Bachelor's Degree,"AWS, Docker, Kubernetes",None,51,12,Flexible,No,Hybrid,HCL,IT Services,Negative,0,High,2324084,307538,Below Average,Senior-Level,Developer,Delhi,Yes,Flexible Hours,Excellent,Stable,Moderate,2024-12-17 17:53:29.688940,Ambiguous,315.4694666666667
Bangalore,10,Low,Data Scientist,Senior-Level,9,992323,2348265,Diploma,"AWS, Docker, Kubernetes",Google Cloud Certified,10,11,Day,No,Hybrid,Accenture,Consulting,Negative,9,Moderate,956241,46527,Average,Lead,Developer,Chennai,No,Health Insurance,Limited,Weak,High,2025-01-25 17:53:29.688940,Ambiguous,495.8747
Chennai,40,Low,Software Engineer,Senior-Level,4,1717480,789892,Diploma,"AWS, Docker, Kubernetes",AWS Certified,51,4,Day,No,Remote,HCL,Healthcare,Neutral,3,Moderate,2258233,398711,Above Average,Senior-Level,Team Lead,Madanapalle,No,Flexible Hours,Excellent,Weak,Moderate,2024-12-23 17:53:29.688940,Ambiguous,728.2744333333333
Delhi,6,Medium,Analyst,Lead,4,1188557,955872,Master's Degree,"C++, Algorithms",None,83,4,Day,No,Remote,TCS,IT Services,Neutral,4,Low,1855218,13879,Below Average,Mid-Level,Manager,Pune,No,Health Insurance,Moderate,Weak,Moderate,2024-12-17 17:53:29.688940,Clear,564.8406
Delhi,26,High,Project Manager,Lead,11,1736397,590031,PhD,"C++, Algorithms",AWS Certified,25,2,Flexible,Yes,Offline,TCS,Healthcare,Neutral,9,Moderate,2017312,224175,Below Average,Lead,Manager,Pune,Yes,Stock Options,Excellent,Stable,Low,2025-01-14 17:53:29.688940,Ambiguous,396.24373333333335
Darbhanga,36,High,Project Manager,Entry-Level,8,1070724,404983,Master's Degree,"Java, Spring Boot",Scrum Master,27,1,Day,No,Remote,TCS,Healthcare,Negative,5,Low,1791454,47731,Average,Senior-Level,Data Analyst,Delhi,No,Flexible Hours,Moderate,Strong,Moderate,2025-01-09 17:53:29.688940,Ambiguous,1000.0
Hyderabad,20,Low,Project Manager,Entry-Level,7,460542,1153145,Bachelor's Degree,"JavaScript, React",None,71,2,Night,No,Remote,HCL,Retail,Positive,3,Low,1401504,483789,Above Average,Lead,Data Analyst,Hyderabad,No,Flexible Hours,Excellent,Stable,Moderate,2024-12-12 17:53:29.688940,Ambiguous,372.71680000000003
Bangalore,22,High,Project Manager,Entry-Level,11,1196414,955185,Master's Degree,"Python, SQL, ML",Google Cloud Certified,65,10,Night,Yes,Hybrid,TCS,Consulting,Positive,4,Moderate,454883,225269,Below Average,Lead,Developer,Pune,Yes,Stock Options,Moderate,Weak,Moderate,2024-12-19 17:53:29.688940,Ambiguous,345.16276666666664
Munger,9,Low,Consultant,Mid-Level,5,1943578,1095962,Master's Degree,"JavaScript, React",Google Cloud Certified,89,4,Flexible,Yes,Offline,TCS,Consulting,Neutral,7,Moderate,2822084,41445,Average,Senior-Level,Data Analyst,Delhi,Yes,Flexible Hours,Limited,Weak,Moderate,2024-12-15 17:53:29.688940,Ambiguous,831.0694666666667
Delhi,40,High,Software Engineer,Senior-Level,6,1543318,1271970,PhD,"C++, Algorithms",Scrum Master,26,11,Day,Yes,Remote,HCL,IT Services,Neutral,9,High,2523001,251253,Average,Mid-Level,Manager,Munger,No,Health Insurance,Limited,Strong,Low,2024-12-13 17:53:29.688940,Clear,558.1000333333334
Hyderabad,34,Medium,Project Manager,Senior-Level,3,1031794,624622,Bachelor's Degree,"Python, SQL, ML",Google Cloud Certified,54,12,Flexible,Yes,Offline,Accenture,IT Services,Neutral,2,Moderate,2817198,186625,Below Average,Mid-Level,Manager,Hyderabad,Yes,Health Insurance,Excellent,Strong,Low,2024-12-30 17:53:29.688940,Ambiguous,611.9066
Munger,49,High,Consultant,Entry-Level,14,1681822,1027770,Bachelor's Degree,"C++, Algorithms",AWS Certified,70,5,Day,Yes,Hybrid,Cognizant,IT Services,Positive,0,Moderate,2295084,426715,Below Average,Mid-Level,Team Lead,Munger,No,Stock Options,Moderate,Stable,High,2025-01-24 17:53:29.688940,Ambiguous,946.5028
Bangalore,23,Low,Consultant,Entry-Level,6,595519,1079049,PhD,"Java, Spring Boot",Google Cloud Certified,53,3,Flexible,Yes,Remote,TCS,Consulting,Neutral,8,Low,2978873,300343,Above Average,Mid-Level,Manager,Hyderabad,No,Flexible Hours,Excellent,Weak,High,2025-01-18 17:53:29.688940,Ambiguous,524.2957666666666
